Molecule ChEMBL ID;Molecule Name;Molecule Max Phase;Molecular Weight;#RO5 Violations;AlogP;Compound Key;Smiles;Standard Type;Standard Relation;Standard Value;Standard Units;pChEMBL Value;Data Validity Comment;Comment;Uo Units;Ligand Efficiency BEI;Ligand Efficiency LE;Ligand Efficiency LLE;Ligand Efficiency SEI;Potential Duplicate;Assay ChEMBL ID;Assay Description;Assay Type;BAO Format ID;BAO Label;Assay Organism;Assay Tissue ChEMBL ID;Assay Tissue Name;Assay Cell Type;Assay Subcellular Fraction;Assay Parameters;Assay Variant Accession;Assay Variant Mutation;Target ChEMBL ID;Target Name;Target Organism;Target Type;Document ChEMBL ID;Source ID;Source Description;Document Journal;Document Year;Cell ChEMBL ID;Properties;Action Type;Standard Text Value;Value
CHEMBL4866646;;None;917.02;3;9.38;24l;CC(Oc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCN(CC4=C(c5ccc(C(F)(F)F)cc5)CC(C)(C)CC4)CC3)cc2Oc2cnc3[nH]ccc3c2)cc1[N+](=O)[O-])C1CCOCC1;IC50;'=';9.2;nM;8.04;;;UO_0000065;8.76;0.17;-1.34;4.75;0;CHEMBL4828452;Displacement of Bak derived peptide from Bcl-2 (unknown origin) measured after 15 mins by microplate reader assay;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL4860;Apoptosis regulator Bcl-2;Homo sapiens;SINGLE PROTEIN;CHEMBL4825763;1;Scientific Literature;Bioorg Med Chem;2021;None;TIME = 0.25 hr;INHIBITOR;;9.2
CHEMBL3951720;;None;688.77;3;5.99;22;Cc1cc2c(c(O)c1-c1c(C)cc3c(c1O)/C(=C/NCCCC(=O)O)C(=O)C(O)=C3C(C)C)/C(=C/NCCCC(=O)O)C(=O)C(O)=C2C(C)C;IC50;'=';596.0;nM;6.22;;;UO_0000065;9.04;0.17;0.23;2.91;0;CHEMBL3865725;Inhibition of FAM-Bid binding to human BCL2 expressed in Escherichia coli BL21 after 30 mins by fluorescence polarization assay;B;BAO_0000019;assay format;Homo sapiens;None;None;None;None;;;;CHEMBL4860;Apoptosis regulator Bcl-2;Homo sapiens;SINGLE PROTEIN;CHEMBL3864191;1;Scientific Literature;ACS Med Chem Lett;2016;None;;;;0.596
CHEMBL1962393;;None;716.83;3;6.77;23;Cc1cc2c(c(O)c1-c1c(C)cc3c(c1O)/C(=C/NCCCCC(=O)O)C(=O)C(O)=C3C(C)C)/C(=C/NCCCCC(=O)O)C(=O)C(O)=C2C(C)C;IC50;'=';458.0;nM;6.34;;;UO_0000065;8.84;0.17;-0.43;2.97;0;CHEMBL3865725;Inhibition of FAM-Bid binding to human BCL2 expressed in Escherichia coli BL21 after 30 mins by fluorescence polarization assay;B;BAO_0000019;assay format;Homo sapiens;None;None;None;None;;;;CHEMBL4860;Apoptosis regulator Bcl-2;Homo sapiens;SINGLE PROTEIN;CHEMBL3864191;1;Scientific Literature;ACS Med Chem Lett;2016;None;;;;0.458
CHEMBL2170840;;None;1093.76;None;None;33;CCCCn1c(C)c(C(=O)O)c(-c2cccc(N3CCN(c4ccc(NS(=O)(=O)c5ccc(N[C@H](CCN6CCC(O)CC6)CSc6ccccc6)c(S(=O)(=O)C(F)(F)F)c5)cc4)CC3)c2)c1-c1ccc(Cl)cc1;IC50;'=';78.2;nM;7.11;;;UO_0000065;6.50;None;None;None;0;CHEMBL2173962;Inhibition of N-terminal 6xHis-tagged human Bcl-2 expressed in Escherichia coli BL21 (DE3) after 2 hrs by fluorescence polarization assay;B;BAO_0000019;assay format;Homo sapiens;None;None;None;None;;;;CHEMBL4860;Apoptosis regulator Bcl-2;Homo sapiens;SINGLE PROTEIN;CHEMBL2169845;1;Scientific Literature;J Med Chem;2012;None;;;;78.2
CHEMBL2171007;;None;794.47;2;7.12;11;Cc1cccc(S(=O)(=O)Nc2ccc(N3CCN(c4cccc(-c5c(C(=O)NCCCN6CCN(C)CC6)c(C)n(C)c5-c5ccc(Cl)cc5)c4)CC3)cc2)c1;IC50;'=';689.0;nM;6.16;;;UO_0000065;7.76;0.15;-0.96;6.61;0;CHEMBL2173962;Inhibition of N-terminal 6xHis-tagged human Bcl-2 expressed in Escherichia coli BL21 (DE3) after 2 hrs by fluorescence polarization assay;B;BAO_0000019;assay format;Homo sapiens;None;None;None;None;;;;CHEMBL4860;Apoptosis regulator Bcl-2;Homo sapiens;SINGLE PROTEIN;CHEMBL2169845;1;Scientific Literature;J Med Chem;2012;None;;;;689.0
CHEMBL1269076;;None;642.70;2;6.79;6f;CC1=C(C2=C(C)C(=O)c3c(cc(O)c(O)c3CCc3ccc(C)cc3)C2=O)C(=O)c2cc(O)c(O)c(CCc3ccc(C)cc3)c2C1=O;IC50;'=';3120.0;nM;5.51;;;UO_0000065;8.57;0.16;-1.28;3.69;0;CHEMBL1273517;Displacement of F-BakBH3 from Bcl-2 after 30 mins by fluorescence polarization assay;B;BAO_0000357;single protein format;None;None;None;None;None;;;;CHEMBL4860;Apoptosis regulator Bcl-2;Homo sapiens;SINGLE PROTEIN;CHEMBL1269007;1;Scientific Literature;J Med Chem;2010;None;;;;3.12
CHEMBL344184;;None;300.31;0;3.24;6;COc1ccc2c(c1)CCc1cc(OC)ccc1/[N+]([O-])=[N+]\2[O-];IC50;'=';10400.0;nM;4.98;;;UO_0000065;16.59;0.31;1.74;7.06;0;CHEMBL651292;In vitro inhibitory activity against Bak-Bh3 peptide binding to the Bcl-2 using human myeloid leukemia cell line HL-60;B;BAO_0000019;assay format;Homo sapiens;None;None;None;None;;;;CHEMBL4860;Apoptosis regulator Bcl-2;Homo sapiens;SINGLE PROTEIN;CHEMBL1134645;1;Scientific Literature;J Med Chem;2001;None;;;;10.4
CHEMBL1962390;;None;632.67;2;4.43;20;Cc1cc2c(c(O)c1-c1c(C)cc3c(c1O)/C(=C/NCC(=O)O)C(=O)C(O)=C3C(C)C)/C(=C/NCC(=O)O)C(=O)C(O)=C2C(C)C;IC50;'=';573.0;nM;6.24;;;UO_0000065;9.87;0.19;1.81;2.92;0;CHEMBL3865725;Inhibition of FAM-Bid binding to human BCL2 expressed in Escherichia coli BL21 after 30 mins by fluorescence polarization assay;B;BAO_0000019;assay format;Homo sapiens;None;None;None;None;;;;CHEMBL4860;Apoptosis regulator Bcl-2;Homo sapiens;SINGLE PROTEIN;CHEMBL3864191;1;Scientific Literature;ACS Med Chem Lett;2016;None;;;;0.573
CHEMBL2312471;;None;414.53;1;5.44;7b;CCCCNC1=C2C(=NC1=O)c1cccc3c(Sc4ccc(OC)cc4)ccc2c13;IC50;'=';356.0;nM;6.45;;;UO_0000065;15.56;0.29;1.01;12.72;0;CHEMBL2318341;Binding affinity to human Bcl-2 (unknown origin) by biotin-Bim displacement based ELISA;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL4860;Apoptosis regulator Bcl-2;Homo sapiens;SINGLE PROTEIN;CHEMBL2311285;1;Scientific Literature;Bioorg Med Chem;2013;None;;;;356.0
CHEMBL2312470;;None;461.59;1;5.85;6d;Nc1ccc(Sc2ccc3c4c(cccc24)C2=NC(=O)C(NCCCc4ccccc4)=C23)cc1;IC50;'=';20.0;nM;7.70;;;UO_0000065;16.68;0.31;1.85;11.41;0;CHEMBL2318341;Binding affinity to human Bcl-2 (unknown origin) by biotin-Bim displacement based ELISA;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL4860;Apoptosis regulator Bcl-2;Homo sapiens;SINGLE PROTEIN;CHEMBL2311285;1;Scientific Literature;Bioorg Med Chem;2013;None;;;;20.0
CHEMBL337147;;None;210.24;0;0.49;32;O=C1c2ccc[n+]3c2-c2c1ccc[n+]2CC3;IC50;;;nM;;;Not Active;UO_0000065;;;;;0;CHEMBL875933;"In vitro inhibition of Bak-Bh3 peptide binding to the Bcl-2 using human myeloid leukemia cell line HL-60; Inactive";B;BAO_0000019;assay format;Homo sapiens;None;None;None;None;;;;CHEMBL4860;Apoptosis regulator Bcl-2;Homo sapiens;SINGLE PROTEIN;CHEMBL1134645;1;Scientific Literature;J Med Chem;2001;None;;;;
CHEMBL335140;;None;244.21;0;-0.79;30;Nc1nc(N)c2c(n1)[n+]([O-])c1ccccc1[n+]2[O-];IC50;;;nM;;;Not Active;UO_0000065;;;;;0;CHEMBL875933;"In vitro inhibition of Bak-Bh3 peptide binding to the Bcl-2 using human myeloid leukemia cell line HL-60; Inactive";B;BAO_0000019;assay format;Homo sapiens;None;None;None;None;;;;CHEMBL4860;Apoptosis regulator Bcl-2;Homo sapiens;SINGLE PROTEIN;CHEMBL1134645;1;Scientific Literature;J Med Chem;2001;None;;;;
CHEMBL3908169;;None;666.82;2;5.90;BDBM179550;CCCCN(CCCC)C(=O)c1cc(C)n(-c2cc(OCC(=O)OCc3ccccc3)ccc2C(=O)N2Cc3ccccc3C[C@H]2CO)n1;IC50;'=';1539.27;nM;5.81;;326153;UO_0000065;8.72;0.16;-0.09;5.09;0;CHEMBL3887237;Surface plasmon resonance (SPR): The SPR assay is configured to examine solution inhibition of BCL-2 binding to peptide derivatized sensor surfaces to generate IC50 values as a measure of inhibitor potency. Solution Inhibition Assay Format: Biacore TM A100 (GE Healthcare, Uppsala, Sweden) was used to conduct all experiments reported herein. Sensor surface preparation and all interaction analyses experiments were performed at 25° C. Reagents were purchased from GE Healthcare. Running buffer containing 10 mM Hepes, pH7.4, 150 mM sodium chloride, 1.25 mM Dithiothreitol, 3% Dimethyl sulfoxide and 0.05% polysorbate 20 were utilized throughout all analyses.Â  Biotinylated BAK, BAD and NOXA peptides were diluted to 10 nM in running buffer and captured onto a sensor surface pre-derivatized with streptavidin (sensor chip SA) to peptide surface densities in the range 50-100 R.U.Â  Peptide captured surfaces were blocked with 50004 PEO2Biotin. A blank detection spot in each flowcell was similarly blocked with PEO2-biotin and served as a reference spot in the competition assay.;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL4860;Apoptosis regulator Bcl-2;Homo sapiens;SINGLE PROTEIN;CHEMBL3886230;37;BindingDB Patent Bioactivity Data;;2015;None;;;;1539.27
CHEMBL3918229;;None;532.69;1;4.79;BDBM179555;CCCCN(CCCC)C(=O)c1cc(C)n(-c2cc(OC)ccc2C(=O)N2Cc3ccccc3C[C@H]2CO)n1;IC50;'=';470.04;nM;6.33;;326158;UO_0000065;11.88;0.22;1.54;7.20;0;CHEMBL3887237;Surface plasmon resonance (SPR): The SPR assay is configured to examine solution inhibition of BCL-2 binding to peptide derivatized sensor surfaces to generate IC50 values as a measure of inhibitor potency. Solution Inhibition Assay Format: Biacore TM A100 (GE Healthcare, Uppsala, Sweden) was used to conduct all experiments reported herein. Sensor surface preparation and all interaction analyses experiments were performed at 25° C. Reagents were purchased from GE Healthcare. Running buffer containing 10 mM Hepes, pH7.4, 150 mM sodium chloride, 1.25 mM Dithiothreitol, 3% Dimethyl sulfoxide and 0.05% polysorbate 20 were utilized throughout all analyses.Â  Biotinylated BAK, BAD and NOXA peptides were diluted to 10 nM in running buffer and captured onto a sensor surface pre-derivatized with streptavidin (sensor chip SA) to peptide surface densities in the range 50-100 R.U.Â  Peptide captured surfaces were blocked with 50004 PEO2Biotin. A blank detection spot in each flowcell was similarly blocked with PEO2-biotin and served as a reference spot in the competition assay.;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL4860;Apoptosis regulator Bcl-2;Homo sapiens;SINGLE PROTEIN;CHEMBL3886230;37;BindingDB Patent Bioactivity Data;;2015;None;;;;470.04
CHEMBL3953351;;None;699.87;2;5.70;BDBM179583;CCCCN(CCCC)C(=O)c1cc(C)n(-c2ccc(N[S+]([O-])c3ccccc3C(=O)OC)cc2C(=O)N2Cc3ccccc3C[C@H]2CO)n1;IC50;'=';447.69;nM;6.35;;326197;UO_0000065;9.07;0.17;0.65;4.53;0;CHEMBL3887238;Surface plasmon resonance (SPR): Methods for Determining IC50s.The present method includes utility of a Surface plasmon resonance (SPR)- based biosensor (Biacore GE Healthcare, Uppsala, Sweden) to characterize BCL-2 inhibitors.Biacore utilizes the phenomenon of surface plasmon resonance (SPR) to detect and measure binding interactions. In a typical Biacore experiment, one of the interacting molecules (ligand) is immobilized on a flexible dextran matrix while the interacting partner (analyte) is allowed to flow across that surface. A binding interaction results in an increase in mass on the sensor surface and a corresponding direct change in the refractive index of the medium in the vicinity of the sensor surface. Changes in refractive index or signal are recorded in resonance units (R.U.) Signal changes due to association and dissociation of complexes are monitored in a non-invasive manner, continuously and in real-time, the results of which are reported in the form of a sensorgram.;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL4860;Apoptosis regulator Bcl-2;Homo sapiens;SINGLE PROTEIN;CHEMBL3886231;37;BindingDB Patent Bioactivity Data;;2015;None;;;;447.69
CHEMBL3701337;;None;656.78;2;6.26;BDBM161522;Cc1c(C(=O)N(C)c2ccc(O)cc2)cc(-c2cc(CNC(=O)COc3ccccc3)ccc2C(=O)N2Cc3ccccc3C[C@H]2C)n1C;IC50;'=';43.5;nM;7.36;;304821;UO_0000065;11.21;0.21;1.10;7.07;0;CHEMBL3705658;Fluorescence Polarisation Assay: The fluorescence polarisation tests were carried out on microplates (384 wells). The Bcl-2 protein, labelled (histag-Bcl-2 such that Bcl-2 corresponds to the UniProtKB® primary accession number: P10415), at a final concentration of 2.50×10−8 M, is mixed with a fluorescent peptide (Fluorescein-REIGAQLRRMADDLNAQY), at a final concentration of 1.00×10−8 M in a buffer solution (Hepes 10 mM, NaCl 150 mM, Tween20 0.05%, pH 7.4), in the presence or absence of increasing concentrations of test compounds. After incubation for 2 hours, the fluorescence polarisation is measured.;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL4860;Apoptosis regulator Bcl-2;Homo sapiens;SINGLE PROTEIN;CHEMBL3638572;37;BindingDB Patent Bioactivity Data;;2015;None;;;;43.5
CHEMBL3703620;;None;987.58;3;8.03;BDBM156401;O=C(NS(=O)(=O)c1ccc(N[C@H](CCN2CCOC[C@H]2CO)CSc2ccccc2)c(S(=O)(=O)C(F)(F)F)c1)c1ccc(N2CCC([C@@H](O)c3ccccc3-c3ccc(Cl)cc3)CC2)cc1;IC50;'=';0.4;nM;9.40;;363150;UO_0000065;9.52;0.19;1.37;5.68;0;CHEMBL3887911;"Fluorescence Polarization Assay: Bcl-xL and Bcl-2 FP binding affinity of compound(s) of Formulae (I), (I-a), (I-b), (I-c), (I-d) and/or (I-c) may be determined using a variety of known methods. One such assay is a sensitive and quantitative in vitro binding assay using fluorescence polarization ('FP') described by Wang, J.-L.; Zhang, Z-J.; Choksi, S.; Sjam. S.; Lu, Z.; Croce, C. M.; Alnemri, E. S.; Komgold, R.; Huang, Z. Cell permeable Bcl-2 binding peptides: a chemical approach to apoptosis induction in tumor cells. Cancer Res. 2000, 60, 1498-1502). Additionally, the binding affinity of compound(s) of Formulae (I), (I-a), (I-b), (I-c), (I-d) and/or (I-e) to Bcl-2 protein in vitro was determined by a competitive binding assay based on fluorescence polarization. For example, fluorescence polarization ('FP')assays may be developed using a c-terminal 6XHIS tagged Bcl-2 (aa 1-204) and a C-terminal 6XHIS tagged Bcl-XL (aa 1-209). The tracer may be a synthetic peptide BH-3 peptide Bim conjugated to Fluorescein isothiocyanate (FITC-DLRPEIRIAQELRRIGDEFNETYTRR). Dilutions of either Bcl-2 (1.3 nM) or Bcl-XL (0.8 nM) may be added to serial dilutions of antagonist and incubated for one hour prior to the addition of 2 nM of fluorescent peptide tracer (Anaspec, Fremont, Calif.) in the assay buffer. Final assay buffer conditions may be 20 mM HEPES, pH 7.5, 1 mM DTT, 0.005% Tween-20 and 50 mM NaCl. Samples may be read after 20-minute incubation. Fluorescence polarization values may be plotted as a function of the antagonist concentration.";B;BAO_0000219;cell-based format;None;None;None;None;None;;;;CHEMBL4860;Apoptosis regulator Bcl-2;Homo sapiens;SINGLE PROTEIN;CHEMBL3886500;37;BindingDB Patent Bioactivity Data;;2016;None;;;;0.4
CHEMBL3703622;;None;1042.71;None;None;BDBM156403;CCN(CC)CC1CN(CC[C@H](CSc2ccccc2)Nc2ccc(S(=O)(=O)NC(=O)c3ccc(N4CCC([C@@H](O)c5ccccc5-c5ccc(Cl)cc5)CC4)cc3)cc2S(=O)(=O)C(F)(F)F)CCO1;IC50;'=';0.4;nM;9.40;;363152;UO_0000065;9.01;None;None;None;0;CHEMBL3887911;"Fluorescence Polarization Assay: Bcl-xL and Bcl-2 FP binding affinity of compound(s) of Formulae (I), (I-a), (I-b), (I-c), (I-d) and/or (I-c) may be determined using a variety of known methods. One such assay is a sensitive and quantitative in vitro binding assay using fluorescence polarization ('FP') described by Wang, J.-L.; Zhang, Z-J.; Choksi, S.; Sjam. S.; Lu, Z.; Croce, C. M.; Alnemri, E. S.; Komgold, R.; Huang, Z. Cell permeable Bcl-2 binding peptides: a chemical approach to apoptosis induction in tumor cells. Cancer Res. 2000, 60, 1498-1502). Additionally, the binding affinity of compound(s) of Formulae (I), (I-a), (I-b), (I-c), (I-d) and/or (I-e) to Bcl-2 protein in vitro was determined by a competitive binding assay based on fluorescence polarization. For example, fluorescence polarization ('FP')assays may be developed using a c-terminal 6XHIS tagged Bcl-2 (aa 1-204) and a C-terminal 6XHIS tagged Bcl-XL (aa 1-209). The tracer may be a synthetic peptide BH-3 peptide Bim conjugated to Fluorescein isothiocyanate (FITC-DLRPEIRIAQELRRIGDEFNETYTRR). Dilutions of either Bcl-2 (1.3 nM) or Bcl-XL (0.8 nM) may be added to serial dilutions of antagonist and incubated for one hour prior to the addition of 2 nM of fluorescent peptide tracer (Anaspec, Fremont, Calif.) in the assay buffer. Final assay buffer conditions may be 20 mM HEPES, pH 7.5, 1 mM DTT, 0.005% Tween-20 and 50 mM NaCl. Samples may be read after 20-minute incubation. Fluorescence polarization values may be plotted as a function of the antagonist concentration.";B;BAO_0000219;cell-based format;None;None;None;None;None;;;;CHEMBL4860;Apoptosis regulator Bcl-2;Homo sapiens;SINGLE PROTEIN;CHEMBL3886500;37;BindingDB Patent Bioactivity Data;;2016;None;;;;0.4
CHEMBL538616;;None;700.79;3;7.58;8r;Cc1cc2c(C(=O)NCC(C)c3ccccc3)c(O)c(O)cc2c(O)c1-c1c(C)cc2c(C(=O)NCC(C)c3ccccc3)c(O)c(O)cc2c1O;IC50;'=';320.0;nM;6.50;;;UO_0000065;9.27;0.17;-1.09;3.62;0;CHEMBL1031851;Displacement of F-BakBH3 from Bcl-2 by fluorescence polarization assay;B;BAO_0000357;single protein format;None;None;None;None;None;;;;CHEMBL4860;Apoptosis regulator Bcl-2;Homo sapiens;SINGLE PROTEIN;CHEMBL1158469;1;Scientific Literature;J Med Chem;2009;None;;;;0.32
CHEMBL376055;;None;679.82;1;3.78;7;CN(CCCc1ccccc1)S(=O)(=O)c1cc(C(=O)N2CCc3ccc(S(=O)(=O)NCCc4ccccc4)cc3C2)c(O)c(O)c1O;IC50;'=';330.0;nM;6.48;;;UO_0000065;9.53;0.19;2.70;3.94;0;CHEMBL918623;Displacement of biotinylated Bim BH3 peptide from recombinant His-tagged Bcl2 by ELISA assay;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL4860;Apoptosis regulator Bcl-2;Homo sapiens;SINGLE PROTEIN;CHEMBL1144472;1;Scientific Literature;J Med Chem;2007;None;;;;0.33
CHEMBL3703616;;None;1042.71;None;None;BDBM156397;CCN(CC)C[C@H]1COCCN1CC[C@H](CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCC([C@@H](O)c4ccccc4-c4ccc(Cl)cc4)CC3)cc2)cc1S(=O)(=O)C(F)(F)F;IC50;'=';0.3;nM;9.52;;298908;UO_0000065;9.13;None;None;None;0;CHEMBL3707482;"Fluorescence Polarization: Bcl-xL and Bcl-2 FP binding affinity of compound(s) of Formulae (I), (I-a), (I-b), (I-c), (I-d) and/or (I-e) may be determined using a variety of known methods. One such assay is a sensitive and quantitative in vitro binding assay using fluorescence polarization ('FP') described by Wang, J.-L.; Zhang, Z-J.; Choksi, S.; Sjam. S.; Lu, Z.; Croce, C. M.; Alnemri, E. S.; Komgold, R.; Huang, Z. Cell permeable Bcl-2 binding peptides: a chemical approach to apoptosis induction in tumor cells. Cancer Res. 2000, 60, 1498-1502).Additionally, the binding affinity of compound(s) of Formulae (I), (I-a), (I-b), (I-c), (I-d) and/or (I-e) to Bcl-2 protein in vitro was determined by a competitive binding assay based on fluorescence polarization. For example, fluorescence polarization ('FP') assays may be developed using a c-terminal 6.times.HIS tagged Bcl-2 (aa 1-204) and a C-terminal 6.times.HIS tagged Bcl-X.sub.L (aa 1-209). The tracer may be a synthetic peptide BH-3 peptide Bim conjugated to Fluores.";B;BAO_0000219;cell-based format;Homo sapiens;None;None;None;None;;;;CHEMBL4860;Apoptosis regulator Bcl-2;Homo sapiens;SINGLE PROTEIN;CHEMBL3638929;37;BindingDB Patent Bioactivity Data;;2015;None;;;;0.3
CHEMBL2398249;;None;443.53;1;5.10;63a;CCN1CC/C(=N/Nc2nc3ccccc3s2)c2cc(-c3cccc(C(=O)O)n3)ccc21;IC50;'>';10000.0;nM;;;;UO_0000065;;;;;0;CHEMBL2399234;Binding affinity to Bcl-2 (unknown origin) by surface plasmon resonance assay;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL4860;Apoptosis regulator Bcl-2;Homo sapiens;SINGLE PROTEIN;CHEMBL2396645;1;Scientific Literature;J Med Chem;2013;None;;;;10.0
CHEMBL2398173;;None;414.49;1;5.21;59b;O=C(O)c1cccc(-c2ccc3c(c2)/C(=N\Nc2nc4ccccc4s2)CCC3)n1;IC50;'>';10000.0;nM;;;;UO_0000065;;;;;0;CHEMBL2399234;Binding affinity to Bcl-2 (unknown origin) by surface plasmon resonance assay;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL4860;Apoptosis regulator Bcl-2;Homo sapiens;SINGLE PROTEIN;CHEMBL2396645;1;Scientific Literature;J Med Chem;2013;None;;;;10.0
CHEMBL269836;;None;272.30;0;3.16;5;CC(C)c1cc(C(=O)c2ccccc2)c(O)c(O)c1O;IC50;'=';41600.0;nM;4.38;;;UO_0000065;16.09;0.30;1.22;5.63;0;CHEMBL932183;Inhibition of human Bcl-2 protein by ELISA;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL4860;Apoptosis regulator Bcl-2;Homo sapiens;SINGLE PROTEIN;CHEMBL1141593;1;Scientific Literature;J Med Chem;2008;None;;;;41.6
CHEMBL3311494;;None;944.52;3;6.83;20;O=C(NS(=O)(=O)c1ccc(N[C@H](CCN2CCOCC2)CSc2ccccc2)c(S(=O)(=O)C(F)(F)F)c1)c1ccc(N2CCN(Cc3ccccc3-c3ncc(Cl)cn3)CC2)cc1;IC50;'=';21.0;nM;7.68;;;UO_0000065;8.13;0.17;0.85;4.98;0;CHEMBL3369467;Inhibition of c-terminal 6xHis-tagged Bcl-2 (amino acids 1 to 204) (unknown origin) preincubated for 1 hr prior to substrate addition measured after 20 mins by fluorescence polarization assay;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL4860;Apoptosis regulator Bcl-2;Homo sapiens;SINGLE PROTEIN;CHEMBL3351631;1;Scientific Literature;Bioorg Med Chem Lett;2014;None;;;;0.021
CHEMBL219775;;None;510.61;1;3.65;6;CC(C)c1cc(C(=O)N2CCc3ccc(S(=O)(=O)NCCc4ccccc4)cc3C2)c(O)c(O)c1O;IC50;'=';6600.0;nM;5.18;;;UO_0000065;10.15;0.20;1.53;4.07;0;CHEMBL918623;Displacement of biotinylated Bim BH3 peptide from recombinant His-tagged Bcl2 by ELISA assay;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL4860;Apoptosis regulator Bcl-2;Homo sapiens;SINGLE PROTEIN;CHEMBL1144472;1;Scientific Literature;J Med Chem;2007;None;;;;6.6
CHEMBL1269110;;None;655.49;2;7.09;BDBM142757;CC1=C(C2=C(C)C(=O)c3c(cc(O)c(O)c3Cc3ccc(Cl)cc3)C2=O)C(=O)c2cc(O)c(O)c(Cc3ccc(Cl)cc3)c2C1=O;IC50;'=';340.0;nM;6.47;;278909;UO_0000065;9.87;0.19;-0.62;4.34;1;CHEMBL3707868;Fluorescence Polarization Assay: A Bak BH3 peptide (F-BakBH3) (GQVGRQLAIIGDDINR (SEQ ID NO:1)) was labeled at the N-terminus with fluorescein isothiocyanate (FITC) (Molecular Probes) and purified by HPLC. For competitive binding assays, 100 nM GST-BCL-XL DTM protein was preincubated with the tested compound at varying concentrations in 47.5 uL PBS (pH=7.4) in 96-well black plates at room temperature for 10 min, then 2.5 uL of 100 nM FITC-labeled Bak BH3 peptide was added to produce a final volume of 50 uL. The wild-type and mutant Bak BH3 peptides were included in each assay plate as positive and negative controls, respectively. After 30 min incubation at room temperature, the polarization values in millipolarization units were measured at excitation/emission wavelengths of 480/535 nm with a multilabel plate reader (PerkinElmer). IC50 was determined by fitting the experimental data to a sigmoidal dose-response nonlinear regression model.;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL4860;Apoptosis regulator Bcl-2;Homo sapiens;SINGLE PROTEIN;CHEMBL3638406;37;BindingDB Patent Bioactivity Data;;2015;None;;;;340.0
CHEMBL343734;;None;282.35;0;1.46;37;CS1(C)=NC(=O)C2=C(N=1)c1ccccc1S2(=O)=O;IC50;;;nM;;;Not Active;UO_0000065;;;;;0;CHEMBL875933;"In vitro inhibition of Bak-Bh3 peptide binding to the Bcl-2 using human myeloid leukemia cell line HL-60; Inactive";B;BAO_0000019;assay format;Homo sapiens;None;None;None;None;;;;CHEMBL4860;Apoptosis regulator Bcl-2;Homo sapiens;SINGLE PROTEIN;CHEMBL1134645;1;Scientific Literature;J Med Chem;2001;None;;;;
CHEMBL2030850;;None;832.98;2;9.32;3g;CCCCc1c(-c2ccc(C(=O)NS(=O)(=O)c3ccc4ccccc4c3)cc2C(=O)N2CCc3ccccc3C2)c(C(=O)OCC)nn1-c1ccc(Oc2ccccc2)cc1;IC50;'=';100.0;nM;7.00;;;UO_0000065;8.40;0.16;-2.32;5.11;0;CHEMBL2033942;Inhibition of GST-tagged Bcl2 using [FAM]-IWIAQELRRIGDEFNAYY-NH2 as substrate after 60 mins by fluorescence polarization assay;B;BAO_0000357;single protein format;None;None;None;None;None;;;;CHEMBL4860;Apoptosis regulator Bcl-2;Homo sapiens;SINGLE PROTEIN;CHEMBL2029199;1;Scientific Literature;Bioorg Med Chem Lett;2012;None;;;;0.1
CHEMBL2030851;;None;790.94;2;8.64;3h;CCCCc1c(-c2ccc(C(=O)NS(=O)(=O)c3ccc4ccccc4c3)cc2C(=O)N2CCc3ccccc3C2)c(CO)nn1-c1ccc(Oc2ccccc2)cc1;IC50;'=';130.0;nM;6.89;;;UO_0000065;8.71;0.16;-1.75;5.26;0;CHEMBL2033942;Inhibition of GST-tagged Bcl2 using [FAM]-IWIAQELRRIGDEFNAYY-NH2 as substrate after 60 mins by fluorescence polarization assay;B;BAO_0000357;single protein format;None;None;None;None;None;;;;CHEMBL4860;Apoptosis regulator Bcl-2;Homo sapiens;SINGLE PROTEIN;CHEMBL2029199;1;Scientific Literature;Bioorg Med Chem Lett;2012;None;;;;0.13
